prefix,input_text,target_text
translate thai to english,ระบบได้ผ่านการทดสอบการใช้งานในโรงงานอุตสาหกรรมในประเทศไทยแล้ว,The system has been tested for use in industrial factories in Thailand. 
translate english to thai,The system has been tested for use in industrial factories in Thailand. ,ระบบได้ผ่านการทดสอบการใช้งานในโรงงานอุตสาหกรรมในประเทศไทยแล้ว
translate thai to english,พบว่า การย่อยเปลือกมะพร้าวทั้งลูกมีอัตราการสับย่อย 385.2 กิโลกรัมต่อชั่วโมง มีประสิทธิภาพการสับย่อยร้อยละ 98.60 และการย่อยเศษเปลือกมะพร้าว มีอัตราการสับย่อย 763.2 กิโลกรัมต่อชั่วโมง,"It was found that, for the whole fresh coconut, the shredding rate was 385.2 kilogram per hour. With the shredding efficiency of 98.60 percent. For the fresh coconut coir only, the shredding rate was 763.2 Kilogram per hour."
translate english to thai,"It was found that, for the whole fresh coconut, the shredding rate was 385.2 kilogram per hour. With the shredding efficiency of 98.60 percent. For the fresh coconut coir only, the shredding rate was 763.2 Kilogram per hour.",พบว่า การย่อยเปลือกมะพร้าวทั้งลูกมีอัตราการสับย่อย 385.2 กิโลกรัมต่อชั่วโมง มีประสิทธิภาพการสับย่อยร้อยละ 98.60 และการย่อยเศษเปลือกมะพร้าว มีอัตราการสับย่อย 763.2 กิโลกรัมต่อชั่วโมง
translate thai to english,พบความสัมพันธ์ระหว่างปริมาณคลอโรฟิลล์กับ SCMR ของ 22 จีโนไทป์ในระยะยืดตัว ความสัมพันธ์เชิงบวกระบุระหว่างค่า SCMR กับคลอโรฟิลล์ทั้งหมด ปริมาณคลอโรฟิลล์ a และคลอโรฟิลล์ b,"The relationship between chlorophyll content and SCMR of 22 genotypes were found at elongation stage, positive correlations addressed between SCMR value and total chlorophyll, chlorophyll a and chlorophyll b contents. "
translate english to thai,"The relationship between chlorophyll content and SCMR of 22 genotypes were found at elongation stage, positive correlations addressed between SCMR value and total chlorophyll, chlorophyll a and chlorophyll b contents. ",พบความสัมพันธ์ระหว่างปริมาณคลอโรฟิลล์กับ SCMR ของ 22 จีโนไทป์ในระยะยืดตัว ความสัมพันธ์เชิงบวกระบุระหว่างค่า SCMR กับคลอโรฟิลล์ทั้งหมด ปริมาณคลอโรฟิลล์ a และคลอโรฟิลล์ b
translate thai to english,1. ธุรการ 2. อาจารย์ 3. นักวิชาการ 4. ผู้อำนวยการสำนักงานคณบดี และ 5. เจ้าหน้าที่คัดลอก,"1. Admin 2. Lecturers 3. Academic staff 4. Director, Office of the Dean and 5. Copying staff."
translate english to thai,"1. Admin 2. Lecturers 3. Academic staff 4. Director, Office of the Dean and 5. Copying staff.",1. ธุรการ 2. อาจารย์ 3. นักวิชาการ 4. ผู้อำนวยการสำนักงานคณบดี และ 5. เจ้าหน้าที่คัดลอก
translate thai to english,ค่าเฉลี่ย 4.60 อยู่ในระดับมากที่สุด ด้านประสิทธิภาพของระบบ 67 ด้าน โดยภาพรวมมีความพึงพอใจในระดับมาก,"The average was 4.60, at the highest level. 67 aspects of system performance Overall, there was a high level of satisfaction. "
translate english to thai,"The average was 4.60, at the highest level. 67 aspects of system performance Overall, there was a high level of satisfaction. ",ค่าเฉลี่ย 4.60 อยู่ในระดับมากที่สุด ด้านประสิทธิภาพของระบบ 67 ด้าน โดยภาพรวมมีความพึงพอใจในระดับมาก
translate thai to english,โดยระยะห่างที่มากที่สุดที่เครื่องรับสามารถระบุตำแหน่งเครื่องส่งที่อยู่ห่างกันในแนวดิ่งและแนวนอนได้เท่ากับ 12 และ 10 เซนติเมตร ตามลำดับ และมีความถูกต้องโดยเฉลี่ยของการตรวจจับตำแหน่งเท่ากับร้อยละ 94,"The farthest distance detection in the vertical and horizontal is 12 and 10 centimeter, respectively, and provides the average correctness of position detection as 94 percent."
translate english to thai,"The farthest distance detection in the vertical and horizontal is 12 and 10 centimeter, respectively, and provides the average correctness of position detection as 94 percent.",โดยระยะห่างที่มากที่สุดที่เครื่องรับสามารถระบุตำแหน่งเครื่องส่งที่อยู่ห่างกันในแนวดิ่งและแนวนอนได้เท่ากับ 12 และ 10 เซนติเมตร ตามลำดับ และมีความถูกต้องโดยเฉลี่ยของการตรวจจับตำแหน่งเท่ากับร้อยละ 94
translate thai to english,งานวิจัยนี้มีวัตถุประสงค์เพื่อลดของเสียในสายการผลิตฝาครอบเครื่องยนต์รถจักรยานยนต์โดยการจัดสมดุลของสายการผลิต และลดงานที่ไม่เพิ่มมูลค่า เช่น การสูญเสียการเคลื่อนไหว การเคลื่อนไหวส่วนเกิน และข้อบกพร่อง,"The purpose of this research was to reduce wastes in motorcycle engine cover production line by balancing line and reducing non-value added work such as motion loss, excess motion and defect."
translate english to thai,"The purpose of this research was to reduce wastes in motorcycle engine cover production line by balancing line and reducing non-value added work such as motion loss, excess motion and defect.",งานวิจัยนี้มีวัตถุประสงค์เพื่อลดของเสียในสายการผลิตฝาครอบเครื่องยนต์รถจักรยานยนต์โดยการจัดสมดุลของสายการผลิต และลดงานที่ไม่เพิ่มมูลค่า เช่น การสูญเสียการเคลื่อนไหว การเคลื่อนไหวส่วนเกิน และข้อบกพร่อง
translate thai to english,เพื่อนำระบบสารสนเทศมาใช้ในการตรวจสอบคุณภาพของผลิตภัณฑ์สับปะรดห้วยมุ่นเพื่อส่งเสริมตลาดในประเทศ,To apply an information system to verify the quality of Huaymun pineapple products for domestic market promotion.
translate english to thai,To apply an information system to verify the quality of Huaymun pineapple products for domestic market promotion.,เพื่อนำระบบสารสนเทศมาใช้ในการตรวจสอบคุณภาพของผลิตภัณฑ์สับปะรดห้วยมุ่นเพื่อส่งเสริมตลาดในประเทศ
translate thai to english,จากการเปรียบเทียบผลการทดสอบพบว่าค่า qu ของดินซีเมนต์คอลัมน์โดยวิธีที่เสนอมีค่าน้อยกว่าวิธีอัดฉีดแบบเจ็ตเล็กน้อย,The comparisons of testing results are shown that the qu value of soil cement column by the proposed method is less slightly than that by the jet grouting method.
translate english to thai,The comparisons of testing results are shown that the qu value of soil cement column by the proposed method is less slightly than that by the jet grouting method.,จากการเปรียบเทียบผลการทดสอบพบว่าค่า qu ของดินซีเมนต์คอลัมน์โดยวิธีที่เสนอมีค่าน้อยกว่าวิธีอัดฉีดแบบเจ็ตเล็กน้อย
translate thai to english,เฟสเดียวและปรับมุมการติดตั้งแบบคว่ำหน้าและด้านข้างโดยปรับเพิ่มทีละ 50 จาก 00 ถึง 900 โดยพลังงานไฟฟ้าคงที่,A single phase and adjusted the installation angle in the face down and sideways by adjusted 50 increment from 00 to 900 by constant electric energy. 
translate english to thai,A single phase and adjusted the installation angle in the face down and sideways by adjusted 50 increment from 00 to 900 by constant electric energy. ,เฟสเดียวและปรับมุมการติดตั้งแบบคว่ำหน้าและด้านข้างโดยปรับเพิ่มทีละ 50 จาก 00 ถึง 900 โดยพลังงานไฟฟ้าคงที่
translate thai to english,ปัจจุบันมีการผลิตข้าวอินทรีย์,"Currently, the organic rice is produced. "
translate english to thai,"Currently, the organic rice is produced. ",ปัจจุบันมีการผลิตข้าวอินทรีย์
translate thai to english,งานวิจัยนี้นำเสนอกลไกการเพิ่มประสิทธิภาพของเครื่องสแกนเลเซอร์สำหรับการสร้างพื้นผิวสามมิติ,This research paper presents a performance enhancement mechanism of laser scanner for three-dimensional surface reconstruction.
translate english to thai,This research paper presents a performance enhancement mechanism of laser scanner for three-dimensional surface reconstruction.,งานวิจัยนี้นำเสนอกลไกการเพิ่มประสิทธิภาพของเครื่องสแกนเลเซอร์สำหรับการสร้างพื้นผิวสามมิติ
translate thai to english,ที่มีน้ำหนักมากที่สุดคือพัดลมขนาด รองลงมาคือ วัสดุที่ใช้ทำโครง และ วัสดุที่ใช้กรองฝุ่น,"That is the most weight is size fan, followed by materials used to frame and materials used to filter dust."
translate english to thai,"That is the most weight is size fan, followed by materials used to frame and materials used to filter dust.",ที่มีน้ำหนักมากที่สุดคือพัดลมขนาด รองลงมาคือ วัสดุที่ใช้ทำโครง และ วัสดุที่ใช้กรองฝุ่น
translate thai to english,สถานที่ทดสอบตั้งอยู่ในจังหวัดปทุมธานี ประเทศไทย ซึ่งชั้นดินเป็นดินเหนียวอ่อน,"The testing site was located in Pathumthani, Thailand which the soil layer is a soft clayey deposit."
translate english to thai,"The testing site was located in Pathumthani, Thailand which the soil layer is a soft clayey deposit.",สถานที่ทดสอบตั้งอยู่ในจังหวัดปทุมธานี ประเทศไทย ซึ่งชั้นดินเป็นดินเหนียวอ่อน
translate thai to english,นอกจากนี้ ความเหลืองของไข่ลดลง 30% ในอาหาร และไม่ได้รับผลกระทบจากความขาวและความแดงของการรักษาทั้งหมด,"Moreover, the yellowness of egg was decreased in 30% in the diet and was not affected in the lightness and redness of all treatments. "
translate english to thai,"Moreover, the yellowness of egg was decreased in 30% in the diet and was not affected in the lightness and redness of all treatments. ",นอกจากนี้ ความเหลืองของไข่ลดลง 30% ในอาหาร และไม่ได้รับผลกระทบจากความขาวและความแดงของการรักษาทั้งหมด
translate thai to english,นอกจากนี้ยังพบว่าระยะทางที่ใช้ในการฝึกเดินยังขึ้นอยู่กับความเร็วรอบที่เลือกใช้ในการฝึกเดินด้วย,"In addition, it is found that the distance used for gait training also depends upon the speed chosen for training."
translate english to thai,"In addition, it is found that the distance used for gait training also depends upon the speed chosen for training.",นอกจากนี้ยังพบว่าระยะทางที่ใช้ในการฝึกเดินยังขึ้นอยู่กับความเร็วรอบที่เลือกใช้ในการฝึกเดินด้วย
translate thai to english,บทความนี้มีวัตถุประสงค์เพื่อศึกษาความต้านทานซัลเฟตของคอนกรีตที่มีตะกรันจากเตาหลอมเป็นเม็ด,This paper aimed to study the sulfate resistance of concrete with ground granulated blast-furnace slag.
translate english to thai,This paper aimed to study the sulfate resistance of concrete with ground granulated blast-furnace slag.,บทความนี้มีวัตถุประสงค์เพื่อศึกษาความต้านทานซัลเฟตของคอนกรีตที่มีตะกรันจากเตาหลอมเป็นเม็ด
translate thai to english,ความน่าเชื่อถือของการทดสอบคำนวณโดยใช้สูตรไบนารี 0.9289 และ 0.9197,The reliability of the test was calculated using the binary regimens 0.9289 and 0.9197. 
translate english to thai,The reliability of the test was calculated using the binary regimens 0.9289 and 0.9197. ,ความน่าเชื่อถือของการทดสอบคำนวณโดยใช้สูตรไบนารี 0.9289 และ 0.9197
translate thai to english,การศึกษานี้เป็นการศึกษาความเป็นไปได้ในการใช้เทคโนโลยีการเชื่อมโยงสายโซ่ด้วยไซเลนเพื่อการปรับปรุงสมบัติเชิงกลของพอลิออกซีเมทิลีน,This study investigated the feasibility of using silane crosslinking technology to improve mechanical properties of polyoxymethylene.
translate english to thai,This study investigated the feasibility of using silane crosslinking technology to improve mechanical properties of polyoxymethylene.,การศึกษานี้เป็นการศึกษาความเป็นไปได้ในการใช้เทคโนโลยีการเชื่อมโยงสายโซ่ด้วยไซเลนเพื่อการปรับปรุงสมบัติเชิงกลของพอลิออกซีเมทิลีน
translate thai to english,การวิเคราะห์ข้อมูลพบว่าประเทศไทยมีความพร้อมเนื่องจากแนวทางการส่งเสริมเชิงประจักษ์เกี่ยวกับปัจจัยทางการตลาดที่มีอิทธิพลต่อการตัดสินใจใช้ยานยนต์ไฟฟ้า,The data analysis showed that Thailand was ready because of the empirical promotion guidelines in relation to market factors influencing the decision to use electric vehicles. 
translate english to thai,The data analysis showed that Thailand was ready because of the empirical promotion guidelines in relation to market factors influencing the decision to use electric vehicles. ,การวิเคราะห์ข้อมูลพบว่าประเทศไทยมีความพร้อมเนื่องจากแนวทางการส่งเสริมเชิงประจักษ์เกี่ยวกับปัจจัยทางการตลาดที่มีอิทธิพลต่อการตัดสินใจใช้ยานยนต์ไฟฟ้า
translate thai to english,การวิจัยเชิงคุณภาพครั้งนี้มีวัตถุประสงค์เพื่อ  ศึกษาประวัติศาสตร์ศิลปะขอมโบราณและกลุ่มผ้าไหมทอมือจังหวัดสุรินทร์,The aims of this qualitative research were  to study ancient Khmer art history and hand-woven silk groups in Surin. 
translate english to thai,The aims of this qualitative research were  to study ancient Khmer art history and hand-woven silk groups in Surin. ,การวิจัยเชิงคุณภาพครั้งนี้มีวัตถุประสงค์เพื่อ  ศึกษาประวัติศาสตร์ศิลปะขอมโบราณและกลุ่มผ้าไหมทอมือจังหวัดสุรินทร์
translate thai to english,ได้รับความพอดีระหว่างผลการทดลองและทฤษฎีที่ได้รับจากแบบจำลอง,A good fit between experimental and theoretical results provided by the model was obtained.
translate english to thai,A good fit between experimental and theoretical results provided by the model was obtained.,ได้รับความพอดีระหว่างผลการทดลองและทฤษฎีที่ได้รับจากแบบจำลอง
translate thai to english,มีวัตถุประสงค์เพื่อหาโมเดลแมชชีนเลิร์นนิงเพื่อประยุกต์ใช้ในการจำแนกสายพันธุ์กล้วยต่างๆ,The objectives were to find a machine learning model to apply to the classification of variegated banana species. 
translate english to thai,The objectives were to find a machine learning model to apply to the classification of variegated banana species. ,มีวัตถุประสงค์เพื่อหาโมเดลแมชชีนเลิร์นนิงเพื่อประยุกต์ใช้ในการจำแนกสายพันธุ์กล้วยต่างๆ
translate thai to english,การวิจัยครั้งนี้มีวัตถุประสงค์เพื่อศึกษาการใช้พลังงานของเครื่องฉีดขึ้นรูปไฮดรอลิกและไฟฟ้าทั้งหมด จากนั้นทำการวิเคราะห์เชิงทฤษฎีของการใช้พลังงานของเครื่องฉีดขึ้นรูปไฮดรอลิกตามวงจรไฮดรอลิกและข้อมูลจากเอกสารอย่างเป็นทางการ,"The purpose of this research was to study the energy consumption of hydraulic and all electric injection molding machines, and then to do the theoretical analysis of the energy consumption of hydraulic injection molding machines based on hydraulic circuits and information from the official literature. "
translate english to thai,"The purpose of this research was to study the energy consumption of hydraulic and all electric injection molding machines, and then to do the theoretical analysis of the energy consumption of hydraulic injection molding machines based on hydraulic circuits and information from the official literature. ",การวิจัยครั้งนี้มีวัตถุประสงค์เพื่อศึกษาการใช้พลังงานของเครื่องฉีดขึ้นรูปไฮดรอลิกและไฟฟ้าทั้งหมด จากนั้นทำการวิเคราะห์เชิงทฤษฎีของการใช้พลังงานของเครื่องฉีดขึ้นรูปไฮดรอลิกตามวงจรไฮดรอลิกและข้อมูลจากเอกสารอย่างเป็นทางการ
translate thai to english,ซึ่งพบว่าการเผาไหม้ดังกล่าวมีประสิทธิภาพสูง ในขณะที่ปลดปล่อยมลภาวะสู่สิ่งแวดล้อม เช่น ไนโตรเจนออกไซด์ และคาร์บอนมอนอกไซด์ ในปริมาณที่ต่ำ ,"The burning velocities are higher than normal combustion, extended lean flammability limits, and high radiant output with low emissions of pollutants such as NOx and CO. "
translate english to thai,"The burning velocities are higher than normal combustion, extended lean flammability limits, and high radiant output with low emissions of pollutants such as NOx and CO. ",ซึ่งพบว่าการเผาไหม้ดังกล่าวมีประสิทธิภาพสูง ในขณะที่ปลดปล่อยมลภาวะสู่สิ่งแวดล้อม เช่น ไนโตรเจนออกไซด์ และคาร์บอนมอนอกไซด์ ในปริมาณที่ต่ำ 
translate thai to english,"และเรียกใช้การทดสอบประสิทธิภาพในการทำนายของวิธีการแก้ไขเชิงพื้นที่ต่างๆ เช่น RBE, Kriging, LPI และ IDW","And runs a performance test in the prediction of various spatial interpolation methods such as RBE, Kriging, LPI and IDW."
translate english to thai,"And runs a performance test in the prediction of various spatial interpolation methods such as RBE, Kriging, LPI and IDW.","และเรียกใช้การทดสอบประสิทธิภาพในการทำนายของวิธีการแก้ไขเชิงพื้นที่ต่างๆ เช่น RBE, Kriging, LPI และ IDW"
translate thai to english,ส่วนที่หนึ่งจะทดสอบวัดระยะทางกับ 5 วัตถุ,First part was for those five materials.
translate english to thai,First part was for those five materials.,ส่วนที่หนึ่งจะทดสอบวัดระยะทางกับ 5 วัตถุ
translate thai to english,และ  เพื่อประเมินความเหมาะสมของรูปแบบการพัฒนาความคิดสร้างสรรค์เชิงนวัตกรรมของนักเรียนระดับมัธยมศึกษาตามแผนการศึกษาแห่งชาติ พ.ศ. 2560-2579 เพื่อการจัดการศึกษา 4.0,And  to evaluate the appropriateness of the model for improving creative innovation thinking of secondary school students based on the National Education Plan of 2017-2036 for educational management 4.0. 
translate english to thai,And  to evaluate the appropriateness of the model for improving creative innovation thinking of secondary school students based on the National Education Plan of 2017-2036 for educational management 4.0. ,และ  เพื่อประเมินความเหมาะสมของรูปแบบการพัฒนาความคิดสร้างสรรค์เชิงนวัตกรรมของนักเรียนระดับมัธยมศึกษาตามแผนการศึกษาแห่งชาติ พ.ศ. 2560-2579 เพื่อการจัดการศึกษา 4.0
translate thai to english,นอกจากนี้ยังใช้ Matlab Simulink สำหรับการจำลองในกระดาษ,"Moreover, the Matlab Simulink is applied for simulation in the paper."
translate english to thai,"Moreover, the Matlab Simulink is applied for simulation in the paper.",นอกจากนี้ยังใช้ Matlab Simulink สำหรับการจำลองในกระดาษ
translate thai to english,การปรับตำแหน่งของเครื่องจักรและอุปกรณ์ และการออกแบบสายพานลำเลียงใหม่สำหรับกระสอบที่บรรจุแล้ว ช่วยให้การปฏิบัติงานสะดวกขึ้น และลดระยะทางกระบวนการผลิตทั้งหมดจาก 14.98 เมตร เป็น 7.68 เมตร (-48.73%),"A repositioning of the machinery and equipment, and a re-design of the conveyor belt for packed sacks facilitated operations and decreased the total production process distance from 14.98 meters to 7.68 meters (-48.73%). "
translate english to thai,"A repositioning of the machinery and equipment, and a re-design of the conveyor belt for packed sacks facilitated operations and decreased the total production process distance from 14.98 meters to 7.68 meters (-48.73%). ",การปรับตำแหน่งของเครื่องจักรและอุปกรณ์ และการออกแบบสายพานลำเลียงใหม่สำหรับกระสอบที่บรรจุแล้ว ช่วยให้การปฏิบัติงานสะดวกขึ้น และลดระยะทางกระบวนการผลิตทั้งหมดจาก 14.98 เมตร เป็น 7.68 เมตร (-48.73%)
translate thai to english,วัตถุประสงค์ของการศึกษานี้คือการพัฒนาโปรแกรมมือถือสำหรับการสตาร์ทเครื่องยนต์รถจักรยานยนต์,The purpose of this study is to develop a mobile application for starting motorcycle engine. 
translate english to thai,The purpose of this study is to develop a mobile application for starting motorcycle engine. ,วัตถุประสงค์ของการศึกษานี้คือการพัฒนาโปรแกรมมือถือสำหรับการสตาร์ทเครื่องยนต์รถจักรยานยนต์
translate thai to english,จากนั้นจึงลำเลียงเมล็ดบัวไปยังชุดใบมีดตัดด้วยกลไก Scotch Yoke และปล่อยทิ้งไว้ในรางทางออกของเครื่องหลังจากปอกเปลือกแล้ว,"Then the lotus seeds were conveyed to cutting blade unit by Scotch Yoke mechanism, and left through in outlet chute of the machine after peeling."
translate english to thai,"Then the lotus seeds were conveyed to cutting blade unit by Scotch Yoke mechanism, and left through in outlet chute of the machine after peeling.",จากนั้นจึงลำเลียงเมล็ดบัวไปยังชุดใบมีดตัดด้วยกลไก Scotch Yoke และปล่อยทิ้งไว้ในรางทางออกของเครื่องหลังจากปอกเปลือกแล้ว
translate thai to english,ผลการวิจัยพบว่าระบบประมวลผลภาพดิจิทัลแสดงผลเป็นสีขาวเมื่อตรวจพบไข่ที่ไม่มีตัวอ่อน และแสดงเป็นสีดำเมื่อตรวจพบไข่ที่มีตัวอ่อนในช่วงระยะฟักไข่ 9 ถึง 18 วัน,The research results showed that the digital image processing system displayed in white color when detecting the eggs without embryos and it displayed in black color when detecting the eggs with embryos during the incubation period of 9 to 18 days. 
translate english to thai,The research results showed that the digital image processing system displayed in white color when detecting the eggs without embryos and it displayed in black color when detecting the eggs with embryos during the incubation period of 9 to 18 days. ,ผลการวิจัยพบว่าระบบประมวลผลภาพดิจิทัลแสดงผลเป็นสีขาวเมื่อตรวจพบไข่ที่ไม่มีตัวอ่อน และแสดงเป็นสีดำเมื่อตรวจพบไข่ที่มีตัวอ่อนในช่วงระยะฟักไข่ 9 ถึง 18 วัน
translate thai to english,เทคนิคดังกล่าวกระทำได้โดยการเผาไหม้เชื้อเพลิงแกสในวัสดุพรุน (porous medium) ,This can be done by using One way flow combustion (OWFC) in a porous medium at which a water tube is inserted. 
translate english to thai,This can be done by using One way flow combustion (OWFC) in a porous medium at which a water tube is inserted. ,เทคนิคดังกล่าวกระทำได้โดยการเผาไหม้เชื้อเพลิงแกสในวัสดุพรุน (porous medium) 
translate thai to english,งานวิจัยนี้เป็นการศึกษาการประยุกต์ใช้แผงแซนวิชรังผึ้งโดยการใส่ไม้อัดเพื่อใช้แทนวัสดุก่อสร้างอื่นๆ,This research had been studied the application of honeycomb sandwich panels by inserting plywood for use as a substitute other building materials. 
translate english to thai,This research had been studied the application of honeycomb sandwich panels by inserting plywood for use as a substitute other building materials. ,งานวิจัยนี้เป็นการศึกษาการประยุกต์ใช้แผงแซนวิชรังผึ้งโดยการใส่ไม้อัดเพื่อใช้แทนวัสดุก่อสร้างอื่นๆ
translate thai to english,งานวิจัยนี้มีวัตถุประสงค์เพื่อศึกษา พารามิเตอร์ที่ทำให้ได้ค่าการหดตัวที่น้อยที่สุด,The purpose of this research to study the parameters that give the lowest shrinkage.
translate english to thai,The purpose of this research to study the parameters that give the lowest shrinkage.,งานวิจัยนี้มีวัตถุประสงค์เพื่อศึกษา พารามิเตอร์ที่ทำให้ได้ค่าการหดตัวที่น้อยที่สุด
translate thai to english,"พบว่า ให้ผลตอบแทนคิดเป็นมูลค่าปัจจุบันสุทธิ เท่ากับ 3,825,339 บาท","The net present value is 3,825,339 baht."
translate english to thai,"The net present value is 3,825,339 baht.","พบว่า ให้ผลตอบแทนคิดเป็นมูลค่าปัจจุบันสุทธิ เท่ากับ 3,825,339 บาท"
translate thai to english,งานวิจัยนี้มีจุดมุ่งหมายเพื่อปรับปรุงความต้านทานต่อการสึกหรอของกาวในการรีดถ้วยอลูมิเนียมอัลลอยด์โดยใช้การปรับเปลี่ยนพื้นผิวของแม่พิมพ์ด้วยการตอกหมุดและหลังการขัดเงา,The aim of this research is to improve adhesive wear resistance in ironing of aluminum alloy cups by utilizing modification of the die surface with shot peening and post-polishing. 
translate english to thai,The aim of this research is to improve adhesive wear resistance in ironing of aluminum alloy cups by utilizing modification of the die surface with shot peening and post-polishing. ,งานวิจัยนี้มีจุดมุ่งหมายเพื่อปรับปรุงความต้านทานต่อการสึกหรอของกาวในการรีดถ้วยอลูมิเนียมอัลลอยด์โดยใช้การปรับเปลี่ยนพื้นผิวของแม่พิมพ์ด้วยการตอกหมุดและหลังการขัดเงา
